hotel_id,hotel_name,city,price_per_night,rating,location,link
1,Hotel Sunshine,Paris,120,4.5,"Near Eiffel Tower","https://example.com/h1"
2,Budget Inn,Paris,80,3.9,"City Center","https://example.com/h2"
3,Luxury Stay,Dubai,200,4.8,"Downtown","https://example.com/h3"
4,Desert Resort,Dubai,90,4.2,"Near Airport","https://example.com/h4"
5,Central Park Hotel,New York,180,4.6,"Midtown","https://example.com/h5"
6,Times Square Inn,New York,150,4.1,"Times Square","https://example.com/h6"
7,Marina View Hotel,Dubai,130,4.3,"Marina","https://example.com/h7"
8,Eiffel View Residence,Paris,220,4.9,"6th Arrondissement","https://example.com/h8"
9,Harbour View Suites,Sydney,140,4.4,"Harbourfront","https://example.com/h9"
10,Colosseum Stay,Rome,95,4.0,"Historic Center","https://example.com/h10"
11,The Royal London,London,170,4.5,"Hyde Park","https://example.com/h11"
12,Tower Bridge Hotel,London,145,4.2,"Tower Bridge","https://example.com/h12"
13,Big Ben Suites,London,200,4.7,"Westminster","https://example.com/h13"
14,Shinjuku Grand,Tokyo,160,4.6,"Shinjuku","https://example.com/h14"
15,Sakura Stay,Tokyo,100,4.2,"Asakusa","https://example.com/h15"
16,Tokyo Bay Resort,Tokyo,210,4.8,"Tokyo Bay","https://example.com/h16"
17,Forbidden City Hotel,Beijing,110,4.3,"Dongcheng","https://example.com/h17"
18,Wangfujing Grand,Beijing,140,4.6,"Wangfujing","https://example.com/h18"
19,Great Wall Resort,Beijing,250,4.9,"Near Great Wall","https://example.com/h19"
20,Opera House Inn,Sydney,160,4.7,"Opera House","https://example.com/h20"
21,Bondi Beach Hotel,Sydney,130,4.4,"Bondi Beach","https://example.com/h21"
22,Blue Mountains Retreat,Sydney,190,4.8,"Blue Mountains","https://example.com/h22"
23,Roman Holiday Inn,Rome,150,4.3,"Trastevere","https://example.com/h23"
24,Vatican View Hotel,Rome,180,4.6,"Vatican City","https://example.com/h24"
25,Trevi Fountain Suites,Rome,200,4.7,"Trevi Fountain","https://example.com/h25"
