city,hotel,guests,nights,price
Paris,Hotel Louvre,2,3,480
Paris,Eiffel Stay,1,2,260
Paris,Seine View Inn,3,5,950
Paris,Champs Elysees Palace,2,4,820
Paris,Montmartre Suites,4,3,1150
London,The Royal London,2,2,420
London,Tower Bridge Hotel,1,4,520
London,Big Ben Suites,4,3,980
London,Hyde Park Inn,2,5,890
London,Britannia Grand,3,4,1120
Tokyo,Shinjuku Grand,2,4,870
Tokyo,Sakura Stay,1,3,510
Tokyo,Tokyo Bay Resort,3,5,1420
Tokyo,Ginza Elite Hotel,2,2,760
Tokyo,Asakusa Riverside,4,6,1680
Dubai,Burj Al Arab,2,3,1500
Dubai,Marina View Hotel,1,2,430
Dubai,Desert Pearl Inn,4,5,1650
Dubai,Downtown Skyline Suites,2,4,980
Dubai,Palm Jumeirah Retreat,3,6,1980
Beijing,Forbidden City Hotel,2,3,640
Beijing,Wangfujing Grand,1,4,560
Beijing,Great Wall Resort,3,5,1390
Beijing,Olympic Village Inn,2,2,490
Beijing,Hutong Charm Stay,4,3,1100
Shanghai,Bund Riverside Hotel,2,3,710
Shanghai,Pudong View Suites,1,2,390
Shanghai,Oriental Pearl Inn,3,4,1180
Shanghai,Nanjing Road Stay,2,5,950
Shanghai,Huangpu Riverside Grand,4,6,1750
Abu Dhabi,Sheikh Zayed Suites,2,3,880
Abu Dhabi,Corniche View Hotel,1,2,420
Abu Dhabi,Desert Oasis Resort,3,5,1350
Abu Dhabi,Louvre Abu Dhabi Stay,2,4,970
Abu Dhabi,Grand Emirates Palace,4,6,2100
New York,Central Park Hotel,2,5,1250
New York,Times Square Inn,1,3,590
New York,Manhattan Plaza,3,4,1350
New York,Brooklyn Bridge Suites,2,2,740
New York,Statue Liberty View Hotel,4,5,1780
Sydney,Opera House Inn,2,3,680
Sydney,Bondi Beach Hotel,1,4,560
Sydney,Harbour View Suites,4,6,1720
Sydney,Darling Harbour Stay,2,2,640
Sydney,Blue Mountains Retreat,3,5,1280
Rome,Colosseum Stay,2,2,320
Rome,Roman Holiday Inn,3,4,970
Rome,Vatican View Hotel,2,3,750
Rome,Trevi Fountain Suites,1,2,410
Rome,Pantheon Elite Inn,4,5,1560
